1,Staff Count (SUM),,https://nces.ed.gov/ccd/stnfis.asp
AK,51461.79,,
AL,275334.87,,
AR,220761.9,,
AS,0,,
AZ,310524.68,,
BI,0,,
CA,1812744.55,,
CO,339960.88,,
CT,293967.03,,
DC,42512.79,,
DE,55193.28,,
FL,1058237.38,,
GA,694931.1,,
GU,11556,,
HI,69421.89,,
IA,227083.23,,
ID,86578.77,,
IL,746044.54,,
IN,426043.16,,
KS,208324.62,,
KY,295089.15,,
LA,244951.41,,
MA,398179.84,,
MD,355153.4,,
ME,107949.3,,
MI,554958.02,,
MN,363103.78,,
MO,377336.66,,
MS,202563.15,,
MT,63669.72,,
NC,581394.59,,
ND,55795.65,,
NE,144036.66,,
NH,94854.6,,
NJ,716356.19,,
NM,109418.22,,
NV,107543.49,,
NY,1275874.93,,
OH,970697.48,,
OK,255063.99,,
OR,205560.83,,
PA,732046.31,,
PR,117903,,
RI,61129.23,,
SC,265228.95,,
SD,59362.02,,
TN,393936,,
TX,2141291.37,,
UT,180259.23,,
VA,550454.32,,
VI,6714,,
VT,54804.54,,
WA,298560.9,,
WI,336001.74,,
WV,112807.98,,
WY,49740.27,,
