States,Sal10,Sal11,Sal12,Sal13,Sal14,Sal15,Sal16
Alabama,47571.0,47803.0,48003.0,47949.0,48720,48611,48518
Alaska,60732.0,62918.0,62425.0,65468.0,65891,66755,67443
Arizona,46952.0,46637.0,45193.0,45264.0,45335,47456,47218
Arkansas,46045.0,45998.0,46314.0,46631.0,47319,47823,48218
California,67932.0,67871.0,69755.3440980738,69435.0,71396,74090,77179
Colorado,49181.0,49228.0,49049.0,49843.7,49615,44421,51233
Connecticut,68096.0,69165.0,69465.0,69397.0,70583,71709,72013
Delaware,57080.0,57933.5327102804,58799.8285265089,59679.0782988679,59305,59707,59960
District of Columbia,64547.5441094615,66601.1261260784,68720.0429150273,70906.3731040136,73162,75490,73991
Florida,46708.0,45732.0,46504.0,46598.0,47780,48992,46612
Georgia,53112.0,52815.0,52938.0,52880.0,52924,53382,54190
Hawaii,55063.0,55063.0,54070.0,54300.0,56291,57189,56049
Idaho,46464.0,45450.0,44435.0,44669.0,44465,45218,46122
Illinois,62731.0,64509.0,57636.0,59113.1816546763,60124,61083,63475
Indiana,49986.0,50801.0,50516.0,50077.0,50289,50877,53645
Iowa,49626.0,49844.0,50240.0,50946.0,52032,53408,54386
Kansas,46660.0,46598.0,46718.0,47463.7,48221,47609,47755
Kentucky,49543.0,48908.0,49730.0,50203.0,50560,51155,52134
Louisiana,48903.0,49006.0,50179.255985267,51380.600972023,49067,49491,49745
Maine,46208.0,47249.0,47338.0,48430.0,49232,49926,50498
Maryland,64005.0,63960.0,63634.0,64248.0,64546,65477,66456
Massachusetts,68733.0,70340.0,70474.0,71620.0,73847,75398,76522
Michigan,63023.0,61560.0,61560.0,61560.0,62166,61978,61875
Minnesota,52431.0,53680.0,54958.7534092426,56267.9690070406,54752,56670,56913
Mississippi,42307.0,41975.0,41976.0,41814.0,42187,42564,42744
Missouri,45159.0,45321.0,46406.0331491713,47517.043150901,46752,47423,47959
Montana,45759.0,47131.9966010895,47839.0,48855.0,49893,50670,51034
Nebraska,46227.0,47965.0,47984.0,48842.0,49539,50525,51386
Nevada,51523.8188334697,53023.1364930553,54558.8501551276,55957.0,55813,56703,56943
New Hampshire,51443.0,52792.4961897542,54177.3935024243,55598.6206101423,57057,55986,56616
New Jersey,65130.0,66612.0,67078.0,67447.0,68238,69038,69330
New Mexico,46258.0,46888.0,45622.0,45453.0,45727,46625,47163
New York,71633.0,72708.0,73398.0,75279.1537769784,76409,77628,79152
North Carolina,46850.0,46700.0,45933.0,45737.0,44990,47792,47941
North Dakota,42877.0,44807.0,46058.2,47344.3387693887,48666,48944,51223
Ohio,55958.0,56715.0,56715.0,56307.0,55913,54672,56441
Oklahoma,44261.0,44343.0,44391.0,44373.0,44547,45317,45276
Oregon,55494.0,56503.0,56941.0,57600.0,58638,59464,60395
Pennsylvania,59156.0,60759.89,61934.0,62994.0,63701,64447,65151
Rhode Island,59686.0,60923.0,62185.6369835472,63474.4422804116,64969,65918,66197
South Carolina,47508.0,47050.0,47428.0,48375.0,48430,48486,48769
South Dakota,38837.0,39850.0,38804.0,39018.0,40023,40934,42025
Tennessee,45497.0,45891.0,47082.0,47563.0,47742,47979,48817
Texas,48261.0,48638.0,48373.0,48819.0,49690,50713,51890
Utah,46340.0,45329.0,45432.0,45543.0,45695,46689,46887
Vermont,49084.0,51372.0,53896.0,53735.0,55958,57642,55726
Virginia,48043.0,47564.0,48114.0,48988.0,49786,50544,49690
Washington,53003.0,52926.0,52232.0,52234.0,52969,52502,53701
West Virginia,44505.0,44260.0,45399.0,45453.0,45086,45783,45622
Wisconsin,51264.0,54207.0,53792.0,53797.0,53679,52264,54115
Wyoming,55861.0,56100.0,56774.0,56775.0,56583,57414,58140
